,file_name,formula,h,explicit,reward,init_xpos,init_xdot,init_theta,init_thetadot
3,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.01,True,-29878.08839146149,-0.449364131842729,0.49765365593285404,2.90046328971847,-0.49764015372150827
0,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.01,True,-29615.431823582312,-0.35406430997857846,-0.4407826478548119,3.3642989266466143,0.45822837875936295
5,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.01,True,-29174.157295777077,0.47409378431574806,0.4991477184314925,2.9061156220924187,-0.49965492204340534
4,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.01,True,-29134.202230401588,0.2629115014808969,-0.49972677589318165,3.3731312284633694,0.49279735768105926
1,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.01,True,-28825.849481469773,-0.20003888697644112,0.49927279537977975,2.9077288433118538,-0.49796827846161207
11,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.005,True,-8694.342286317524,0.496602647990835,-0.4412977274063605,3.3818561938540332,0.49502497237608134
17,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.005,True,-8017.965043826248,0.0529279833387446,0.496608012593166,2.9369542369162374,-0.42216622454540875
13,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.005,True,-7427.702622101848,0.4995029696057282,-0.4996795760300154,3.3480055157004847,0.4530322687642382
19,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.005,True,-5400.697065015944,-0.12410521392231044,-0.12448872702367719,2.9324147901173063,-0.4252413945589811
14,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.005,True,-5374.821763580921,0.24343454261704656,0.4996232537904094,3.512925241290689,0.49995128053686594
28,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.0025,True,-11587.479078832692,-0.19239144227767002,0.49998856138797054,2.641593071371087,0.47537276443476756
21,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.0025,True,-11586.918128262838,0.07476746166756272,0.499990591298917,2.6415954118987415,0.47552752831746137
23,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.0025,True,-11586.456602445931,-0.3742398244258091,0.49998516032957313,2.6415927334460907,0.475553024791518
26,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.0025,True,-11586.452009952262,0.4572830548440236,0.49958034907517285,2.6415960400425584,0.4755833768547305
20,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.0025,True,-11586.136478948816,0.3643583597882558,0.49999472488230196,2.641604463035903,0.47550799286797985
32,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.01,False,-41447.16994144065,-0.013613304802615467,-0.49927146770219744,3.377061238739663,0.49492845396144836
39,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.01,False,-41325.184126850676,0.17684652593204464,-0.4905871991829878,3.373833591865159,0.4900768542313476
31,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.01,False,-40734.95254394935,0.3775250676577627,-0.49977522369838207,3.3751158701478032,0.4923815003855491
33,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.01,False,-40419.03501488933,0.2174393561710757,0.48263379901010794,2.9064634707661763,-0.4869810062747735
35,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.01,False,-39823.87572373251,0.14404449043387701,-0.44928264114398514,3.357690802879067,0.4453163071906623
46,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.005,False,-11204.282642550772,0.3543961925535649,0.49936142841039355,2.899743568938622,-0.4993301132822012
49,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.005,False,-11201.16032000588,-0.4819337971497902,0.49521903159300107,2.8996974613998754,-0.49943078265799773
47,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.005,False,-11151.594052009685,0.06732244084795933,-0.4994011036157957,3.382912239611781,0.4980964383025798
44,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.005,False,-11138.388608713176,-0.22584337393972626,-0.48532975770989273,3.38311167508757,0.49853950506887446
45,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.005,False,-11102.925099891338,-0.2822034795912106,-0.49376434818855586,3.3831686600179847,0.4986860551379546
53,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.0025,False,-11037.398637046172,0.09730709988733885,-0.49999324548562774,3.6415843281750986,-0.4999978819197952
52,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.0025,False,-11037.33724218616,-0.2905283871817821,-0.49993836076970777,3.641584367679279,-0.4999360913735962
54,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.0025,False,-11037.139069277937,-0.3290005479384514,0.49993206846362415,2.641599843392457,0.4999960403958466
50,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.0025,False,-11036.576085823684,0.21998756676181797,-0.4998927912439638,3.641591035125849,-0.4999635442011166
57,symbolic_complex21_cma_swingup_fav_model.pt,((x3 * 6.767351200568742) + 3.6233933730772825 * x4) / (((((x3 * 3.2482882936834527) + 0.6662924081343168 * x4) * ((x3 * 9.135688327946498) + 1.1997753336125263 * x4)) * -0.7465929829897744) + -0.13873262464256828),0.0025,False,-11013.069984858279,-0.339418741993625,0.49962180198810124,2.641612635009624,0.4748360570091159
