,file_name,formula,parametrized_formula,reward_mean,reward_std,reward16_mean,reward16_std,reward_halfdt_mean,reward_halfdt_std,explicit_reward_mean,explicit_reward_std,explicit_reward16_mean,explicit_reward16_std,explicit_reward_halfdt_mean,explicit_reward_halfdt_std,imexplicit_rew_discrep_mean,imexplicit_rew_discrep_std,step_rew_discrep_mean,step_rew_discrep_std,prec_discrep_mean,prec_discrep_std,prec_exp_discrep_mean,prec_exp_discrep_std
0,symbolic_complex17A_cma_pendulum_final_model.pt,(((10.216568048158265*x2 + 10.704010393648508*x1) * x0 * 28.661043483165862) / ((x2 * ((x2 * (x0 * x0)) * -14.06992802729482)) + -27.995914926588735)),(((p2*x2 + p3*x1) * x0 * p4) / ((x2 * ((x2 * (x0 * x0)) * p0)) + p1)),-223.9033141473925,125.30743136404621,-225.3409917866225,125.8001217309945,-402.3802502745943,215.65558970350875,-835.0467965109336,399.9054989696397,-836.4999222057585,400.93267144839285,-1280.5095965831856,760.0244570303304,639.8986472800996,310.7770674810467,181.21266084002113,119.13439157846433,9.374362554069357,33.65248158285345,11.228836887330198,15.443076052860855
1,actor.pth,Actor,Actor,-137.01719665527344,84.1095199584961,-137.03175354003906,84.12841033935547,-276.36541748046875,172.58673095703125,-124.42899322509766,72.92124938964844,-124.42574310302734,72.9116439819336,-262.8342590332031,160.5291290283203,17.63439178466797,38.44780731201172,139.34820556640625,90.17417907714844,0.029666118323802948,0.16580991446971893,0.012280285358428955,0.03261803463101387
2,symbolic_complex9A_cma_pendulum_fav_model.pt,((((-105.90263870882242*x2 + -424.71175274715085*x1) * x0) + 12.033308606113351*x1) / 50.57729733901235),((((p1*x2 + p2*x1) * x0) + p3*x1) / p0),-165.5618858729929,113.12640128053353,-165.56162588396455,113.1277455877726,-330.71247203609863,225.29346418305894,-658.6992654094757,460.7408580527626,-658.5380699209817,460.58127629988087,-1020.2235007505882,800.8648272918167,538.5701472132532,401.248597817528,165.15058616310566,112.17160904824439,0.01530625984655238,0.028736461081079853,0.5746303459320851,1.9365446115917913
3,symbolic_complex7A_cma_pendulum_fav_model.pt,((2.86554158480621*(x2 * x0) + 6.973008798444018*x1 ) / -1.0487190329828968),((p1 * (x2 * x0) + p2 * x1) / p0),-198.7963793193729,221.53596880451312,-198.80383168673848,221.54795213970706,-391.0074869333504,438.6818702238897,-600.1350991732003,514.1163131825396,-599.7631284776191,513.751680573956,-807.2474915247927,829.6951477911523,473.2686251019622,458.1417672435322,192.2111076139776,218.63424228015762,0.02437585338719379,0.06991425409666317,2.486963985565841,5.102421328360958
4,symbolic_complex19A_cma_pendulum_fav_model.pt,(((8.13803623299395*x2 + (x1 / 0.057047236218414)) * x0) / ((((x1 / 1.4764253676456378) + -0.4157443460612596*x2) * (x2 * 0.6014576743497186)) + -0.4920000550117675)),(((p4*x2 + (x1 / p0)) * x0) / ((((x1 / p1) + p5*x2) * (x2 * p2)) + p3)),-196.76519547592488,114.11629318099328,-196.76077704989967,114.11239975014419,-384.12175359201404,224.73623647809004,-709.3555043063775,452.5043768127176,-709.2891005693263,452.46871188680734,-967.1838051878034,785.1708950109831,560.5930388693189,362.5636753751495,187.95536822654083,113.81850034075175,0.02368161954434493,0.039486906182511626,0.16293111665002458,0.7534841996115796
5,symbolic_complex7A_cma_pendulum_final_model.pt,((2.55002979152217*(x2 * x0) + 8.751262179344549*x1 ) / -1.4164197564724554),((p1 * (x2 * x0) + p2 * x1) / p0),-234.76597984749986,193.85944362999314,-234.78674550877048,193.88970718719355,-463.0515133355472,378.9453608482012,-792.605809590945,492.40865232358493,-792.5733049778734,492.3766426442491,-1014.715117813152,846.522137757967,621.4582803677619,448.1285643841364,228.28553348804738,188.68527739735947,0.030757921497248448,0.1090807000170757,0.18661303793928205,0.45685901769842807
6,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),((((p1*x2 + p2*x1) * x0) + p3*x1) / p0),-185.25119566921413,110.2655136355494,-186.53451138762338,111.51586193510384,-370.16440428046764,219.7485030473013,-616.7554537480671,456.2599574413287,-616.7594712527549,456.26455514689343,-1041.3472141585005,780.405127130804,506.25823208252353,388.8253639837196,184.91320861125362,109.48742364515718,1.317508021870141,12.865823584183245,0.08506806933486814,0.2981546896521396
7,symbolic_complex13A_cma_pendulum_fav_model.pt,(((x2*31.252474868956536 + x1*122.78520287688075) * x0) / ((x2 * (x2 * -1.426890233133197)) + -11.029852389866175)),(((x2*p2 + x1*p3) * x0) / ((x2 * (x2 * p0)) + p1)),-178.82070358946766,121.03713498222831,-178.8449949693318,121.06057446899977,-359.8537940387661,238.80734583514652,-675.1346975332642,450.1901790823176,-675.0916853052897,450.1551898438622,-1088.4907714193773,783.8675182280824,547.7239686393073,385.89798081739957,181.0330904492985,119.20157135460018,0.0367818581406866,0.14010753563015976,0.22384664684624958,1.291647180872189
8,symbolic_complex19A_cma_pendulum_final_model.pt,(((7.943724805377424*x2 + (x1 / 0.07023417335634491)) * x0) / ((((x1 / 1.567206155983898) + -0.33586803234422064*x2) * (x2 * 0.5405748000121652)) + -0.6391040400659562)),(((p4*x2 + (x1 / p0)) * x0) / ((((x1 / p1) + p5*x2) * (x2 * p2)) + p3)),-183.09584251513925,117.60631939826308,-183.09440030454007,117.61489305502585,-360.69204597609024,237.23758406957978,-765.5914884726809,443.2077818949699,-765.5805553760526,443.199810634794,-1211.7235490330208,782.3834250546338,611.1993684017293,359.7672809892115,180.41164869110185,118.23560014297132,0.029632530918295274,0.08784764116790633,0.05955286952455564,0.12404603949815866
9,symbolic_complex17A_cma_pendulum_fav_model.pt,(((4.8139100718210885*x2 + 11.061069428855092*x1) * x0 * 20.311259981564962) / ((x2 * ((x2 * (x0 * x0)) * -9.437333240798203)) + -15.478421385466351)),(((p2*x2 + p3*x1) * x0 * p4) / ((x2 * ((x2 * (x0 * x0)) * p0)) + p1)),-183.8666916776244,122.83002767944376,-183.84373512400146,122.77332737068684,-362.037621003434,242.3909580022576,-659.0187433130443,416.7235350141164,-651.9145137259172,417.31458967116845,-772.9185367433283,673.8163219653952,517.7488069524927,338.2963314090481,178.30440950681333,122.04117343090542,0.06158410758064006,0.23903816367554098,21.69854607408716,65.86142101686639
10,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),(((x2*p2 + x1*p3) * x0) / ((x2 * (x2 * p0)) + p1)),-185.41692668472794,105.30124917940435,-185.39187088707627,105.27749677479498,-360.1412994326028,208.6127716266212,-718.5931095516892,433.27466358008604,-718.7165856172179,433.35095138262625,-1100.764825749954,784.1090689711414,590.4575879198998,372.41779364593384,175.07384630380045,109.04878625783196,0.08246063532236135,0.31709780314095315,0.19521446119755187,0.8225258395890767
